t,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
1.280328079734219315e+01,5.387027187811861406e-01,-5.045593227799067410e-02,3.085467700878107011e-02,-1.071171679142237099e-01,-4.689530790675480038e-02,2.199388448490853173e-02,1.475898437377852201e-01,1.296955872277117706e-02,2.738620509541573114e-02
1.283662267441860472e+01,5.324760999535674832e-01,-5.233631724614387637e-02,3.178390707479738370e-02,-1.021212446023518627e-01,-4.647656495604649690e-02,2.289155580012983138e-02,1.524066651610832546e-01,1.207902315239736506e-02,2.638664234463908645e-02
1.286996455149501628e+01,5.262734223394466282e-01,-5.422701780039441977e-02,3.271291345352166091e-02,-9.695411932337028027e-02,-4.608983329645406635e-02,2.375344485593693794e-02,1.579102913668950225e-01,1.103984145751325287e-02,2.522615267178566004e-02
1.290330642857142784e+01,5.200990227584700865e-01,-5.612926867609602244e-02,3.364130793152619175e-02,-9.159119355464104273e-02,-4.574038688240752992e-02,2.457373036311678860e-02,1.642071502013382478e-01,9.831688315073807208e-03,2.387548010969771026e-02
1.293664830564783941e+01,5.139592588030246212e-01,-5.804448404982650439e-02,3.456853967719455967e-02,-8.600417008920840933e-02,-4.543421940994449293e-02,2.534555150185265754e-02,1.714126975933039920e-01,8.431711584078158822e-03,2.230133222704444237e-02
1.296999018272425275e+01,5.078629003171097889e-01,-5.997426273835444743e-02,3.549385132103393542e-02,-8.016075136965680747e-02,-4.517812870004734443e-02,2.606086691862546934e-02,1.796510954497424761e-01,6.814582046251610632e-03,2.046603286210773448e-02
1.300333205980066431e+01,5.018216073170089775e-01,-6.192038982325754476e-02,3.641622607866551453e-02,-7.402436060695227749e-02,-4.497979749611800276e-02,2.671030340571306505e-02,1.890540237533997192e-01,4.952688375546363334e-03,1.832728236697496807e-02
1.303667393687707587e+01,4.958505023906837339e-01,-6.388483246235274193e-02,3.733432462374654259e-02,-6.755391932808296751e-02,-4.484786484601686191e-02,2.728299891027421292e-02,1.997582979896308786e-01,2.816545436895096215e-03,1.583810182338387176e-02
1.307001581395348744e+01,4.899688426942424568e-01,-6.586972698923179714e-02,3.824641064050161854e-02,-6.070372737382519202e-02,-4.479197967264383212e-02,2.776644749395098741e-02,2.119018747581508655e-01,3.755029135203324020e-04,1.294706619475606731e-02
1.310335769102990078e+01,4.842007912438552886e-01,-6.787735363088406859e-02,3.915026444997247307e-02,-5.342350680718795097e-02,-4.482282490204800296e-02,2.814635788940566402e-02,2.256177382223967520e-01,-2.401138416545277147e-03,9.598965579738443984e-03
1.313669956810631234e+01,4.785762782360399314e-01,-6.991009432562633741e-02,4.004308492567577177e-02,-4.565868958568670283e-02,-4.495209659649963829e-02,2.840654255479168472e-02,2.410250827141857122e-01,-5.542476341726871800e-03,5.736071948282101853e-03
1.317004144518272390e+01,4.731319293852763730e-01,-7.197036827806189974e-02,4.092138123461865062e-02,-3.735104944681114092e-02,-4.519241803181756056e-02,2.852886070100781740e-02,2.582171679202954762e-01,-9.073683374442685981e-03,1.300226795585122334e-03
1.320338332225913547e+01,4.679120184429612639e-01,-7.406053918895921795e-02,4.178085791721787567e-02,-2.843979944205126884e-02,-4.555716386790154004e-02,2.849324655877139706e-02,2.772452629061977203e-01,-1.301287087112016315e-02,-3.764005052587421785e-03
1.323672519933554703e+01,4.629693740523204148e-01,-7.618278778133144580e-02,4.261629960640711534e-02,-1.886329449513922049e-02,-4.606016511380978118e-02,2.827786271345109070e-02,2.980982718308944346e-01,-1.736702910830489888e-02,-9.504862362600830644e-03
1.327006707641196037e+01,4.583661364867944732e-01,-7.833894365977467356e-02,4.342146537935762107e-02,-8.561487569898230607e-03,-4.671526256732468074e-02,2.785942665372729415e-02,3.206780227614436374e-01,-2.212699913482693917e-02,-1.595737659045027776e-02
1.330340895348837194e+01,4.541742186727144581e-01,-8.053027216242858444e-02,4.418900729687542939e-02,2.520719936898558559e-03,-4.753567648425632841e-02,2.721376493596947693e-02,3.447708854459176631e-01,-2.726155974332461832e-02,-2.313570913087395833e-02
1.333675083056478350e+01,4.504752818261463787e-01,-8.275721526614135404e-02,4.491043282470920384e-02,1.442912939422876309e-02,-4.853316571507106103e-02,2.631665071389285154e-02,3.700174357179372153e-01,-3.271091734867894590e-02,-3.102392898450727007e-02
1.337009270764119506e+01,4.473599964837033371e-01,-8.501909136655316779e-02,4.557613585707102899e-02,2.719487165257181149e-02,-4.971696325484897816e-02,2.514497288271192593e-02,3.958833223848868821e-01,-3.838017618731703190e-02,-3.956565958502895886e-02
1.340343458471760840e+01,4.449263370424631492e-01,-8.731376727947692817e-02,4.617552474318080413e-02,4.082811553734569388e-02,-5.109249994828817670e-02,2.367826399723045941e-02,4.216362215485442988e-01,-4.413372783654485876e-02,-4.865350022303088079e-02
